,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
0,"APARTAMENTO DISPONIBLE!! EN EL AREA DE DENVER, CO",2017-03-10 16:37,denver,6038517377,https://denver.craigslist.org/apa/6038517377.html,1.0,800.0,1468.0,https://denver.craigslist.org/reply/den/apa/6038517377,
1,$99 SECURITY DEPOSIT!!! WALK IN CLOSETS IN EVERY BEDROOM!!!,2017-03-10 16:36,denver,6038516279,https://denver.craigslist.org/apa/6038516279.html,1.0,1035.0,1390.0,https://denver.craigslist.org/reply/den/apa/6038516279,
2,$99 SECURITY DEPOSIT!!! AMAZING COMMUNITY!!!,2017-03-10 16:36,denver,6038516258,https://denver.craigslist.org/apa/6038516258.html,1.0,703.0,1280.0,https://denver.craigslist.org/reply/den/apa/6038516258,
3,$99 SECURITY DEPOSIT!!!! FIREPLACES IN MOST HOMES!!!,2017-03-10 16:36,denver,6038516209,https://denver.craigslist.org/apa/6038516209.html,1.0,856.0,1280.0,https://denver.craigslist.org/reply/den/apa/6038516209,
4,UNBEATABLE DEALS!! $200 DEPOSIT CALL TODAY FOR MORE INFORMATION!!!,2017-03-10 16:35,denver,6032538703,https://denver.craigslist.org/apa/6032538703.html,2.0,900.0,1090.0,https://denver.craigslist.org/reply/den/apa/6032538703,
5,Hang your stockings by your wood-burning fireplace!,2017-03-10 16:35,denver,6038515084,https://denver.craigslist.org/apa/6038515084.html,2.0,780.0,1103.0,https://denver.craigslist.org/reply/den/apa/6038515084,
6,Beautiful and spacious two bedroom available now! Check us out today,2017-03-10 16:35,denver,6038514980,https://denver.craigslist.org/apa/6038514980.html,2.0,834.0,1279.0,https://denver.craigslist.org/reply/den/apa/6038514980,
7,"$1,000 Have it Your Way",2017-03-10 16:34,denver,6038514596,https://denver.craigslist.org/apa/6038514596.html,2.0,970.0,1385.0,https://denver.craigslist.org/reply/den/apa/6038514596,
8,This two bedroom is the key to your great summer!!!,2017-03-10 16:33,denver,6038513490,https://denver.craigslist.org/apa/6038513490.html,2.0,850.0,1298.0,https://denver.craigslist.org/reply/den/apa/6038513490,
9,"Updater Moving Partner, Vaulted Ceilings on top floor, Package Service",2017-03-10 16:33,denver,6035613649,https://denver.craigslist.org/apa/6035613649.html,1.0,650.0,1221.0,https://denver.craigslist.org/reply/den/apa/6035613649,
10,"9 ft ceilings, onsite recycling, free wifi, 24 hr fitness center",2017-03-10 16:32,denver,6038512118,https://denver.craigslist.org/apa/6038512118.html,1.0,686.0,1300.0,https://denver.craigslist.org/reply/den/apa/6038512118,
