,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
0,"Accepts Electronic Payments, Pets Allowed, Controlled Access",2017-03-17 13:37,seattle,6048324006,https://seattle.craigslist.org/skc/apa/6048324006.html,1.0,650.0,1215.0,https://seattle.craigslist.org/reply/sea/apa/6048324006,
1,Don't miss our SPECIAL! Limited time only! $1320 for 2 bedr 1 bath!,2017-03-17 13:37,seattle,6029749831,https://seattle.craigslist.org/sno/apa/6029749831.html,2.0,920.0,1380.0,https://seattle.craigslist.org/reply/sea/apa/6029749831,
2,Bright & spacious 2 bedr 1 bath is coming soon! Pre-lease today! W/D!,2017-03-17 13:36,seattle,6029752866,https://seattle.craigslist.org/sno/apa/6029752866.html,2.0,920.0,1355.0,https://seattle.craigslist.org/reply/sea/apa/6029752866,
3,Easy Freeway Access and Close Shopping Centers!,2017-03-17 13:36,seattle,6048308380,https://seattle.craigslist.org/tac/apa/6048308380.html,2.0,970.0,1340.0,https://seattle.craigslist.org/reply/sea/apa/6048308380,
4,Washers And Dryers In Every Home!,2017-03-17 13:36,seattle,6048322735,https://seattle.craigslist.org/oly/apa/6048322735.html,2.0,1040.0,1481.0,https://seattle.craigslist.org/reply/sea/apa/6048322735,
5,Beautiful upgraded home!!! Call TODAY!!!,2017-03-17 13:36,seattle,6048322523,https://seattle.craigslist.org/oly/apa/6048322523.html,1.0,784.0,1172.0,https://seattle.craigslist.org/reply/sea/apa/6048322523,
6,Looking to move in June? We have one for you! Great 2 bedr 1 bath!,2017-03-17 13:35,seattle,6029779860,https://seattle.craigslist.org/sno/apa/6029779860.html,2.0,920.0,1445.0,https://seattle.craigslist.org/reply/sea/apa/6029779860,
7,Brand New Remodeled Home! Last One This Month!,2017-03-17 13:35,seattle,6048322058,https://seattle.craigslist.org/see/apa/6048322058.html,1.0,650.0,1464.0,https://seattle.craigslist.org/reply/sea/apa/6048322058,
8,Spacious 2 bedr 1 bath on a ground floor! Has a courtyard view! W/D!,2017-03-17 13:35,seattle,6029774212,https://seattle.craigslist.org/sno/apa/6029774212.html,2.0,920.0,1345.0,https://seattle.craigslist.org/reply/sea/apa/6029774212,
9,Two Bedrooms One Bath!  Sunset Park call us today and take a tour!,2017-03-17 13:34,seattle,6045235856,https://seattle.craigslist.org/see/apa/6045235856.html,2.0,913.0,1450.0,https://seattle.craigslist.org/reply/sea/apa/6045235856,
10,South Capital Hill Secure One Bedroom Condo at Maison Jiselle,2017-03-17 13:34,seattle,6048320024,https://seattle.craigslist.org/see/apa/6048320024.html,1.0,480.0,1400.0,https://seattle.craigslist.org/reply/sea/apa/6048320024,
11,Perfect Home for Family Gatherings!,2017-03-17 13:33,seattle,6048249712,https://seattle.craigslist.org/tac/apa/6048249712.html,4.0,,1459.0,https://seattle.craigslist.org/reply/sea/apa/6048249712,
12,"Welcome home... Spacious 2BR apt! NEW features, Enjoy Sparkling Pool",2017-03-17 13:33,seattle,6048305707,https://seattle.craigslist.org/skc/apa/6048305707.html,2.0,800.0,1120.0,https://seattle.craigslist.org/reply/sea/apa/6048305707,
13,2 Bedroom with garage,2017-03-17 13:33,seattle,6048318593,https://seattle.craigslist.org/tac/apa/6048318593.html,2.0,,1000.0,https://seattle.craigslist.org/reply/sea/apa/6048318593,
14,CHARMING 1 BD X 1 BA!,2017-03-17 13:33,seattle,6048193133,https://seattle.craigslist.org/tac/apa/6048193133.html,1.0,,1100.0,https://seattle.craigslist.org/reply/sea/apa/6048193133,
15,Cozy ~2x1~ WITH FIRE PLACE AND WASHERS & DRYERS,2017-03-17 13:32,seattle,6048317017,https://seattle.craigslist.org/sno/apa/6048317017.html,2.0,,1305.0,https://seattle.craigslist.org/reply/sea/apa/6048317017,
16,$800 Amazon Gift Card.,2017-03-17 13:32,seattle,6048316898,https://seattle.craigslist.org/see/apa/6048316898.html,1.0,,1195.0,https://seattle.craigslist.org/reply/sea/apa/6048316898,
17,ONLY 2 left to move in APRIL,2017-03-17 13:32,seattle,6048316690,https://seattle.craigslist.org/tac/apa/6048316690.html,2.0,984.0,1220.0,https://seattle.craigslist.org/reply/sea/apa/6048316690,
18,BRAND NEW RENOVATED TWO BEDROOM APARTMENT!,2017-03-17 13:31,seattle,6045363299,https://seattle.craigslist.org/tac/apa/6045363299.html,2.0,950.0,1275.0,https://seattle.craigslist.org/reply/sea/apa/6045363299,
19,"...STAINLESS STEEL, BRAND NEW..HURRY IN!",2017-03-17 13:30,seattle,6045299761,https://seattle.craigslist.org/tac/apa/6045299761.html,1.0,714.0,1015.0,https://seattle.craigslist.org/reply/sea/apa/6045299761,
20,Don't Miss Out!! Lease Your New Home Today!!,2017-03-17 13:28,seattle,6048310088,https://seattle.craigslist.org/skc/apa/6048310088.html,2.0,880.0,1275.0,https://seattle.craigslist.org/reply/sea/apa/6048310088,
21,1bd 1bth Sunny side Apt,2017-03-17 13:27,seattle,6048300433,https://seattle.craigslist.org/sno/apa/6048300433.html,1.0,756.0,1080.0,https://seattle.craigslist.org/reply/sea/apa/6048300433,
