,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
0,Awesome two bedroom apartment close to DIA,2017-03-05 20:05,denver,6028542418,https://denver.craigslist.org/apa/6028542418.html,2.0,940.0,1472.0,https://denver.craigslist.org/reply/den/apa/6028542418,
1,"Spacious Closets, Rentable Storage, Bike Storage Room",2017-03-05 20:02,denver,6025558267,https://denver.craigslist.org/apa/6025558267.html,1.0,665.0,1331.0,https://denver.craigslist.org/reply/den/apa/6025558267,
2,"Along RTD Route, Theater Room- Seats 12, Package Service",2017-03-05 20:02,denver,6028531986,https://denver.craigslist.org/apa/6028531986.html,1.0,762.0,1116.0,https://denver.craigslist.org/reply/den/apa/6028531986,
3,"Fitness Center, Package Service, Hot Tub",2017-03-05 19:55,denver,6025262728,https://denver.craigslist.org/apa/6025262728.html,1.0,796.0,1426.0,https://denver.craigslist.org/reply/den/apa/6025262728,
4,"On-site Management, Accepts Electronic Payments, Street Parking",2017-03-05 19:51,denver,5994766722,https://denver.craigslist.org/apa/5994766722.html,2.0,871.0,1300.0,https://denver.craigslist.org/reply/den/apa/5994766722,
5,$99 SECURITY DEPOSIT!!!! FIREPLACES IN MOST HOMES!!!,2017-03-05 19:37,denver,6028242706,https://denver.craigslist.org/apa/6028242706.html,1.0,703.0,1145.0,https://denver.craigslist.org/reply/den/apa/6028242706,
6,"1BR Duplex Bsmnt Unit, includes all utilities and Internet",2017-03-05 19:35,denver,6031333107,https://denver.craigslist.org/apa/6031333107.html,1.0,750.0,1150.0,https://denver.craigslist.org/reply/den/apa/6031333107,
7,"Spacious, Affordable Athmar Park Apt--With a view!",2017-03-05 19:30,denver,6031334016,https://denver.craigslist.org/apa/6031334016.html,2.0,1100.0,1200.0,https://denver.craigslist.org/reply/den/apa/6031334016,
8,"Public Transportation, Sauna, Fitness Center",2017-03-05 19:28,denver,6022668576,https://denver.craigslist.org/apa/6022668576.html,1.0,460.0,1055.0,https://denver.craigslist.org/reply/den/apa/6022668576,
9,"1 bedroom with office, 1 month Free rent!",2017-03-05 19:27,denver,6019517768,https://denver.craigslist.org/apa/6019517768.html,1.0,816.0,1485.0,https://denver.craigslist.org/reply/den/apa/6019517768,
10,Evergreen - Shared home,2017-03-05 19:27,denver,6006437653,https://denver.craigslist.org/apa/6006437653.html,2.0,2500.0,1000.0,https://denver.craigslist.org/reply/den/apa/6006437653,
11,$100 OFF!! WALK IN CLOSETS IN EVERY APARTMENT!!!,2017-03-05 19:26,denver,6019650231,https://denver.craigslist.org/apa/6019650231.html,1.0,1035.0,1390.0,https://denver.craigslist.org/reply/den/apa/6019650231,
12,Great 1 bed in Cap Hill! Must see Available April 5th!,2017-03-05 19:08,denver,6025806790,https://denver.craigslist.org/apa/6025806790.html,1.0,650.0,1175.0,https://denver.craigslist.org/reply/den/apa/6025806790,
13,"Newly Upgraded Apartments, Great Neighborhood, and tons of Amenities",2017-03-05 19:04,denver,6031285604,https://denver.craigslist.org/apa/6031285604.html,2.0,1004.0,1363.0,https://denver.craigslist.org/reply/den/apa/6031285604,
14,Luxurious apartment for rent,2017-03-05 18:58,denver,6031302907,https://denver.craigslist.org/apa/6031302907.html,1.0,709.0,1390.0,https://denver.craigslist.org/reply/den/apa/6031302907,
15,"Private Balcony, .2 miles from 401, 402, and 403 Buses, Garages",2017-03-05 18:54,denver,5997925703,https://denver.craigslist.org/apa/5997925703.html,1.0,796.0,1484.0,https://denver.craigslist.org/reply/den/apa/5997925703,
16,WOW! What a view!  Gorgeous condo for rent,2017-03-05 18:51,denver,6024355861,https://denver.craigslist.org/apa/6024355861.html,2.0,1200.0,1500.0,https://denver.craigslist.org/reply/den/apa/6024355861,
17,2Br Available Now Great Location & Price!!,2017-03-05 18:46,denver,6025787563,https://denver.craigslist.org/apa/6025787563.html,2.0,700.0,1400.0,https://denver.craigslist.org/reply/den/apa/6025787563,
18,"Arvada/Wheat Ridge 2 bedroom, hardwood floors",2017-03-05 18:46,denver,6031282693,https://denver.craigslist.org/apa/6031282693.html,2.0,700.0,1100.0,https://denver.craigslist.org/reply/den/apa/6031282693,
19,"Private Patio or Balcony, Walk-In Closet(s), Courtesy Night Patrol",2017-03-05 18:41,denver,6019628882,https://denver.craigslist.org/apa/6019628882.html,1.0,715.0,1226.0,https://denver.craigslist.org/reply/den/apa/6019628882,
20,Capitol Hill * Great Location * Parking * All Utilities Paid!,2017-03-05 18:38,denver,6031282577,https://denver.craigslist.org/apa/6031282577.html,1.0,645.0,1150.0,https://denver.craigslist.org/reply/den/apa/6031282577,
21,Remarkable 1 Bd 1 Ba For Rent,2017-03-05 18:36,denver,6022454111,https://denver.craigslist.org/apa/6022454111.html,1.0,,1000.0,https://denver.craigslist.org/reply/den/apa/6022454111,
22,March Madness equals SUPER SAVINGS at ESPRIT,2017-03-05 18:34,denver,6031278289,https://denver.craigslist.org/apa/6031278289.html,1.0,500.0,1030.0,https://denver.craigslist.org/reply/den/apa/6031278289,
23,"9 Foot Ceilings, Childrens Playground, Mountain Views",2017-03-05 18:34,denver,6028496506,https://denver.craigslist.org/apa/6028496506.html,1.0,668.0,1321.0,https://denver.craigslist.org/reply/den/apa/6028496506,
24,"Street Parking, Pool, On-site Management",2017-03-05 18:29,denver,6025232701,https://denver.craigslist.org/apa/6025232701.html,2.0,871.0,1195.0,https://denver.craigslist.org/reply/den/apa/6025232701,
25,"Clubhouse, Range, Garage",2017-03-05 18:28,denver,6028408283,https://denver.craigslist.org/apa/6028408283.html,1.0,460.0,1045.0,https://denver.craigslist.org/reply/den/apa/6028408283,
26,1 bedroom 1 bath apartment for sublease,2017-03-05 18:28,denver,6031271458,https://denver.craigslist.org/apa/6031271458.html,1.0,1200.0,1350.0,https://denver.craigslist.org/reply/den/apa/6031271458,
27,$100 OFF! GARDEN TUBS AND LARGE LINEN CLOSETS!!!,2017-03-05 18:26,denver,6019276340,https://denver.craigslist.org/apa/6019276340.html,1.0,703.0,1120.0,https://denver.craigslist.org/reply/den/apa/6019276340,
28,1 BR Blockes from DU Avail August!!,2017-03-05 18:24,denver,6025738892,https://denver.craigslist.org/apa/6025738892.html,1.0,600.0,1100.0,https://denver.craigslist.org/reply/den/apa/6025738892,
29,1 BED 1 BATH HOUSE GREAT LOCATION,2017-03-05 18:21,denver,6015322523,https://denver.craigslist.org/apa/6015322523.html,1.0,750.0,1195.0,https://denver.craigslist.org/reply/den/apa/6015322523,
30,Spacious 2 Bed 2 Bath Townhome - Fully Renovated!!!,2017-03-05 18:18,denver,6031261164,https://denver.craigslist.org/apa/6031261164.html,2.0,1102.0,1350.0,https://denver.craigslist.org/reply/den/apa/6031261164,
31,Great Move-In Specials. Come See Us Today! Price Decrease.,2017-03-05 18:15,denver,6022601630,https://denver.craigslist.org/apa/6022601630.html,2.0,1117.0,1387.0,https://denver.craigslist.org/reply/den/apa/6022601630,
32,Second level BR Available September 1st!,2017-03-05 18:13,denver,6025726726,https://denver.craigslist.org/apa/6025726726.html,1.0,600.0,1200.0,https://denver.craigslist.org/reply/den/apa/6025726726,
33,CUTE 1 BED / 1BATH HOUSE . NR LITE RAIL .R.T/D,2017-03-05 18:13,denver,6009120286,https://denver.craigslist.org/apa/6009120286.html,1.0,750.0,1150.0,https://denver.craigslist.org/reply/den/apa/6009120286,
34,"Near East Lake Trail, Spacious Walk-In Closets, 24-Hour Fitness Center",2017-03-05 18:01,denver,6028481226,https://denver.craigslist.org/apa/6028481226.html,1.0,814.0,1226.0,https://denver.craigslist.org/reply/den/apa/6028481226,
35,"2 bedroom - Dog Washing Station, Emergency Maintenance, Large Roman Tubs",2017-03-05 17:53,denver,6016293500,https://denver.craigslist.org/apa/6016293500.html,2.0,942.0,1430.0,https://denver.craigslist.org/reply/den/apa/6016293500,
36,High Class and High End for an Inspired Lifestyle! Cherry Hills Life!!,2017-03-05 17:52,denver,5994388269,https://denver.craigslist.org/apa/5994388269.html,1.0,730.0,1375.0,https://denver.craigslist.org/reply/den/apa/5994388269,
37,Whole Foods Market is Steps from Your Door!! DTC/Capitol Hill/Downtown,2017-03-05 17:51,denver,5992857207,https://denver.craigslist.org/apa/5992857207.html,1.0,705.0,1399.0,https://denver.craigslist.org/reply/den/apa/5992857207,
38,"2 bedroom - Gas Log Fireplaces, Public Transportation, Business Center",2017-03-05 17:49,denver,6031229229,https://denver.craigslist.org/apa/6031229229.html,2.0,942.0,1470.0,https://denver.craigslist.org/reply/den/apa/6031229229,
39,AMAZING LOCATION,2017-03-05 17:47,denver,6031209240,https://denver.craigslist.org/apa/6031209240.html,2.0,1112.0,1200.0,https://denver.craigslist.org/reply/den/apa/6031209240,
40,Gorgeous 2 Level Penthouse Loft + Garage parking,2017-03-05 17:47,denver,6031215458,https://denver.craigslist.org/apa/6031215458.html,1.0,538.0,1440.0,https://denver.craigslist.org/reply/den/apa/6031215458,
41,1 bedroom apartment - Denver metro area,2017-03-05 17:47,denver,6031226191,https://denver.craigslist.org/apa/6031226191.html,1.0,900.0,1300.0,https://denver.craigslist.org/reply/den/apa/6031226191,
